"","Time","Spp","Colony","Core","Notes","Treatment","Replicate","Date","YII"
"343",0,"S.sid",30,"30-4","OK","N ","R2","2017-09-01",0.564
"344",0,"S.sid",30,"30-5","OK","NP","R2","2017-09-01",0.557
"345",0,"S.sid",30,"30-7","OK","Control ","R1","2017-09-01",0.561
"346",0,"S.sid",30,"30-8","OK","N ","R1","2017-09-01",0.569
"347",0,"S.sid",30,"30-9","OK","NP","R1","2017-09-01",0.55
"348",0,"S.sid",30,"30-10","OK","Control ","R2","2017-09-01",0.557
"349",0,"S.sid",30,"30-12","OK","N ","R2","2017-09-01",0.567
"350",0,"S.sid",30,"30-13","OK","NP","R2","2017-09-01",0.563
"351",0,"S.sid",30,"30-14","OK","Control ","R1","2017-09-01",0.559
"352",0,"S.sid",30,"30-15","OK","N ","R1","2017-09-01",0.549
"353",0,"S.sid",30,"30-16","OK","NP","R1","2017-09-01",0.559
"354",0,"S.sid",30,"30-18","OK","Control ","R2","2017-09-01",0.551
"355",0,"S.sid",30,"30-20","OK","N ","R2","2017-09-01",0.56
"356",0,"S.sid",30,"30-21","OK","NP","R2","2017-09-01",0.564
"357",0,"S.sid",30,"30-22","OK","Control ","R1","2017-09-01",0.563
"358",0,"S.sid",30,"30-23","OK","N ","R1","2017-09-01",0.572
"359",0,"S.sid",30,"30-24","OK","NP","R1","2017-09-01",0.563
