Time,Spp,Colony,Core,Notes,Treatment,Replicate,Date,Picture,AOI,File ,variable.fragment
0,S.sid,23,23-21,Meh,Control ,R1,2017-09-01,9,18,9.csv,Y.II.18
0,S.sid,23,23-22,OK,N ,R2,2017-09-01,9,19,9.csv,Y.II.19
0,S.sid,23,23-23,OK,NP,R2,2017-09-01,9,20,9.csv,Y.II.20
0,S.sid,23,23-24,Shit,N ,R1,2017-09-01,9,21,9.csv,Y.II.21
0,S.sid,23,23-25,OK,Control ,R1,2017-09-01,10,1,10.csv,Y.II.1
0,S.sid,23,23-26,OK,N ,R1,2017-09-01,10,2,10.csv,Y.II.2
0,S.sid,23,23-29,OK,NP,R1,2017-09-01,10,3,10.csv,Y.II.3
0,S.sid,23,23-31,OK,Control ,R2,2017-09-01,10,4,10.csv,Y.II.4
0,S.sid,23,23-32,OK,N ,R2,2017-09-01,10,5,10.csv,Y.II.5
0,S.sid,23,23-33,OK,NP,R2,2017-09-01,10,6,10.csv,Y.II.6
0,S.sid,23,23-34,OK,Control ,R1,2017-09-01,10,7,10.csv,Y.II.7
0,S.sid,23,23-35,OK,N ,R1,2017-09-01,10,8,10.csv,Y.II.8
0,S.sid,23,23-36,OK,NP,R1,2017-09-01,10,9,10.csv,Y.II.9
0,S.sid,23,23-37,OK,Control ,R2,2017-09-01,10,10,10.csv,Y.II.10
0,S.sid,23,23-38,OK,N ,R2,2017-09-01,10,11,10.csv,Y.II.11
0,S.sid,23,23-39,OK,NP,R2,2017-09-01,10,12,10.csv,Y.II.12
0,S.sid,23,23-40,OK,Control ,R1,2017-09-01,10,13,10.csv,Y.II.13
0,S.sid,23,23-41,OK,N ,R1,2017-09-01,10,14,10.csv,Y.II.14
0,S.sid,23,23-42,OK,NP,R1,2017-09-01,10,15,10.csv,Y.II.15
0,S.sid,23,23-43,OK,Control ,R2,2017-09-01,10,16,10.csv,Y.II.16
0,S.sid,23,23-44,OK,N ,R2,2017-09-01,10,17,10.csv,Y.II.17
0,S.sid,23,23-45,OK,NP,R2,2017-09-01,10,18,10.csv,Y.II.18
0,S.sid,23,23-46,OK,Control ,R1,2017-09-01,10,19,10.csv,Y.II.19
0,S.sid,23,23-47,OK,N ,R1,2017-09-01,10,20,10.csv,Y.II.20
0,S.sid,23,23-48,OK,NP,R1,2017-09-01,10,21,10.csv,Y.II.21
0,S.sid,23,23-49,OK,Control ,R2,2017-09-01,11,1,11.csv,Y.II.1
0,S.sid,23,23-50,Meh,NP,R1,2017-09-01,11,2,11.csv,Y.II.2
0,S.sid,23,23-52,OK,N ,R2,2017-09-01,11,3,11.csv,Y.II.3
0,S.sid,23,23-53,OK,NP,R2,2017-09-01,11,4,11.csv,Y.II.4
